episode,dist,cost,score,entropy,"(0,0,0)","(1,0,0)","(0,1,0)","(0,0,1)","(1,1,0)","(1,0,1)","(0,1,1)","(1,1,1)"
0,187.51701931922724,185.63158540325054,21175,0.09202392,240,590,1078,267,157,880,374,2915
1,195.41208295761948,193.05972347460175,21300,0.082154214,171,1103,219,206,95,1587,313,2415
2,207.73230490018148,203.63791591046584,20667,nan,149,1860,216,177,106,2625,305,1780
3,233.82749077490774,222.9382292215779,18890,nan,144,2588,169,154,103,3656,256,642
4,255.4299706170421,243.2117158714612,17813,nan,143,1375,166,152,128,5150,247,539
5,274.72065955383124,256.05934483395686,17336,nan,131,667,136,119,118,7072,181,404
6,301.2649402390438,277.3510201258458,16329,nan,91,342,111,111,97,8791,171,328
7,303.3263954588458,274.9654885795378,16971,nan,135,281,130,126,116,8303,189,300
8,303.3990291262136,272.2974110032363,16693,nan,121,232,149,111,110,9719,203,310
9,298.5622641509434,259.05125238231363,17076,nan,110,204,114,107,105,10341,159,271
